,code,mean_profit,win_rate,sharpe_ratio,trade_times,odds,exp_return,sector
133,IHI,0.8459454971199730,0.42424242424242400,0.1979650142711510,66,2.301013864837930,1.6951894727616300,Healthcare
3,DIA,0.8474899965493570,0.4406779661016950,0.22912599163905100,59,2.3306367117545700,1.8359309852365500,Dow Jones
149,XLRE,0.8657806439774930,0.38461538461538500,0.21373590632871500,52,2.962413041785200,1.8512073299246400,Real Estate
63,EWC,0.8851213148213470,0.43548387096774200,0.20023749158910900,62,2.4416458572400400,1.8832217762990800,Canada
74,EWZ,0.8936050976431740,0.3125,0.09602908209175090,64,2.8749265568864300,1.3065947484395100,Brazil
4,MDY,0.9001299074927460,0.39705882352941200,0.18264440669272900,68,2.8475260598979100,1.8748891310037200,S&P MidCap
111,XLC,0.9267311149700000,0.3939393939393940,0.18506593139971800,33,2.475146537236470,1.6085798335311700,Communication
14,RSPC,0.9343024959002840,0.2777777777777780,0.12878868516230200,36,4.376431769464060,1.6830099561076400,Communication
5,RSP,0.9848847310203210,0.46875,0.25453880012897300,64,2.383924900691390,2.103067276181600,S&P 500
19,RSPH,0.9864170232316950,0.4666666666666670,0.2649207401349910,60,2.4230746298397800,2.1197928399523200,Health Care
132,XBI,0.9884139555794330,0.39344262295082000,0.12931564749014300,61,2.2072277942820600,1.4314793253752600,Healthcare
0,VTI,0.9893391069537190,0.43548387096774200,0.257800050878941,124,2.6583145297379700,2.0503365776041200,Health Care
54,VTI,0.9893391069537190,0.43548387096774200,0.257800050878941,124,2.6583145297379700,2.0503365776041200,Total Stock
127,KBE,0.9997960900693810,0.36363636363636400,0.11657205255167300,66,2.774557183833270,1.585212143139380,Finance
2,SPY,1.0222854490554500,0.4166666666666670,0.27330060025437200,120,2.979262774608940,2.127680093847440,S&P 500
55,SPY,1.0222854490554500,0.4166666666666670,0.27330060025437200,120,2.979262774608940,2.127680093847440,S&P 500
8,IWB,1.0635328429623900,0.4262295081967210,0.2769090540510760,61,2.933375819447760,2.1786994639689000,Russell 1000
21,RSPM,1.0659208534892600,0.43333333333333300,0.21439351457607500,60,2.4025625214777600,1.8369295288602500,Materials
46,MOO,1.0786812321302800,0.48333333333333300,0.23102816765152500,60,2.355951090616380,2.2035277568172300,Agribusiness
85,JEPI,1.1250034761490500,0.5555555555555560,0.39251124653408400,18,2.112436897337440,2.639952132442000,High Dividends
12,QUAL,1.1444298471155600,0.46551724137931000,0.2938247712713050,58,2.5155937654424300,2.1905911689730900,Quality factor
138,XLI,1.1517299466082800,0.4098360655737710,0.2601002146333010,61,3.0762283582235300,2.1359077755043800,Industrials
36,SKYY,1.1529831520554900,0.4126984126984130,0.17052807547959800,126,2.5430816182072900,1.7867260999718900,Cloud Computing
163,SKYY,1.1529831520554900,0.4126984126984130,0.17052807547959800,126,2.5430816182072900,1.7867260999718900,Cloud Computing
20,RSPN,1.1760769710947200,0.47540983606557400,0.25228216944761200,61,2.2679236659929800,2.054914104305010,Industrials
41,CIBR,1.1789106448080200,0.4807692307692310,0.19489892862086200,104,1.9374177837535700,1.793559928970690,Cybersecurity
161,CIBR,1.1789106448080200,0.4807692307692310,0.19489892862086200,104,1.9374177837535700,1.793559928970690,Cybersecurity
117,XRT,1.2313586554753100,0.373134328358209,0.13435023418802500,67,3.0120220713496000,1.7925843206855100,Consumer Staples
75,EWT,1.25198273295394,0.4,0.19983570415639300,60,2.9825913973637500,1.9880629210889800,Taiwan
96,XBB,1.2622094238677000,0.5,0.5177210941529490,8,4.7989650953355500,4.798005494236710,FIXED-INCOME
37,HERO,1.2727646016982800,0.25,0.09852638448668340,24,4.68075195266543,1.5600426452024500,Video Games
119,GUNR,1.291559949334190,0.4642857142857140,0.265774251187883,56,2.4864661530903400,2.1545351527831100,Energy
79,ASHR,1.3046206919405800,0.3484848484848490,0.1630977470893560,66,3.297740848641140,1.763637197982310,China
1,OEF,1.3288298705988300,0.5272727272727270,0.3293582017730980,55,2.1365465807323500,2.3825671816053600,S&P 100
39,IPAY,1.3339142197018000,0.46,0.21110510139517200,100,2.184206148142670,1.860275556648080,Mobile Payment
165,IPAY,1.3339142197018000,0.46,0.21110510139517200,100,2.184206148142670,1.860275556648080,Mobile Payment
112,XLY,1.349987852791560,0.4264705882352940,0.26952767196719200,68,2.9491100550800100,2.1925456996554500,Consumer discretionary
30,IPO,1.3646716260519000,0.3968253968253970,0.14402721756435500,63,2.584349847304370,1.6999483291614600,IPO
17,RSPG,1.401803569304050,0.31746031746031700,0.1716601146161300,63,3.7832218272619300,1.7593802895212700,Energy
76,MCHI,1.4107799769101100,0.40350877192982500,0.2160365880457650,57,2.6920979093508500,1.8208198012412500,China
135,XHE,1.420360081572070,0.43333333333333300,0.24310770059578600,60,2.637571677435190,2.016610704384960,Health Care
126,KRE,1.4332298068317200,0.3870967741935480,0.14755667105925300,62,3.115959785000920,1.9676535628403300,Finance
128,IAI,1.4479671152746100,0.4838709677419360,0.20049476459009500,62,2.1456588850316200,2.011165541393500,Finance
